username,rating,comment,variant,timestamp,date,keyword,source_url
l*****y,5,Chất lượng sản phẩm rất tuyệt vời nha Đóng gói sản phẩm rất đẹp và chắc chắn lắm Shop phục vụ rất tốt nhé tư vấn nhiệt tình lắm Giao hàng nhanh nha :>>>,,1719752819,2024-06-30,robot hút bụi lau nhà,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db
lbymbaodom,5,Chất lượng sản phẩm rất tuyệt vời nha Đóng gói sản phẩm rất đẹp và chắc chắn lắm Shop phục vụ rất tốt nhé tư vấn nhiệt tình lắm Giao hàng nhanh nha :>>>,,1719755537,2024-06-30,robot hút bụi lau nhà,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db
yvnbmanman930,5,"Giao hàng nhanh, ship vui tính, hàng đúng y mô tả, Đóng gói cẩn thận, sản phẩm đẹp chắc chắn, mọi người nên mua nha, Shop rất nhiệt tình luôn, săn được sale giá lại siêu rẻ. Thanks shop nhiều nhiều.",,1719559332,2024-06-28,robot hút bụi lau nhà,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db
dfkpthoisu,5,"Chất lượng sản phẩm tuyệt vời nhé, đóng hàng cẩn thận và giao hàng rất nhanh . Giá rẻ ưu đãi, shiper nhiệt tình . Nói chung đáng tiền mua.",1 sp,1741018985,2025-03-03,robot hút bụi lau nhà,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db
lbymbaodom,5,Mua nhiều lần rồi khỏi bàn về chất lượng.Giá thành hợp lý.giao hàng nhanh đóng gói cẩn thận  ship thân thiện lịch sự.sẽ ủng hộ shop dài dài o,,1719755869,2024-06-30,robot hút bụi lau nhà,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db
hkushaihung,5,"giá rẻ,uy tín đã mua shop nhiều lần rất hài lòng tư vấn nhiệt tình shop đáng yêu, chất lượng và giá quá pà ưng sẽ ủng hộ shop lâu dài nơi đáng để mua mọi người nên thử",,1719553021,2024-06-28,robot hút bụi lau nhà,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db
opkfhuynhgia540,5,"Chất lượng sản phẩm tuyệt vời, đóng gói sản phẩm đẹp và chắc chắn. Shop phục vụ rất tốt, đóng hàng rất nhanh. Thời gian giao hàng cũng nhanh.",1 sp,1741019077,2025-03-03,robot hút bụi lau nhà,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db
n*****8,5,"Hút mạnh dc tóc hạt nhỏ, bụi mịn, nói chung ok so với mức giá. shop gói cẩn thận giao hàng nhanh",,1719638249,2024-06-29,robot hút bụi lau nhà,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db
paaequyetthai594,5,"Chất lượng sản phẩm rất là tuyệt vời cả nhà ạ, shop tư vấn rất là chu đáo và nhiệt tình, đóng gói sản phảm cẩn thận không vết sước, thời gian giao hàng rất là nhanh",1 sp,1741018872,2025-03-03,robot hút bụi lau nhà,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db
bofidiepsaker,5,"Chất lượng sản phẩm rất ưng , sản phâm rất thích nha, shop đóng gói rất cẩn thận nha, tư vấn chăm sóc khách hàng rất là tôt chu đáo lắm, thời gian giao hàng cúng rất là nhanh nữa",1 sp,1741018446,2025-03-03,robot hút bụi lau nhà,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db
wfbhhailua229,5,"Sản phẩm chất lượng dùng hiệu quả thời gian giao hàng nhanh, đóng gói sản phẩm chắc chắn, shop phục vụ nhiệt tình chu đáo, Sẽ ghé lại shop trong thời gian tới. Cảm ơn shop nhiều 😍😍😍",1 sp,1741018715,2025-03-03,robot hút bụi lau nhà,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db
pdclsinhbonsai439,5,"Shop phục vụ rất nhiệt tình nha, shipper thân thiện. Giao hàng nhanh quá ạ, sản phẩm thì khỏi phải bàn nữa, quá tốt. Đã mua hàng của shop rất nhiều rồi nên yên tâm về chất lượng. Cảm ơn shop vì những sp chất lượng",1 sp,1741018318,2025-03-03,robot hút bụi lau nhà,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db
kzpncanvu,5,"Shop phục vụ rất nhiệt tình nha, shipper thân thiện. Giao hàng nhanh quá ạ, sản phẩm thì khỏi phải bàn nữa, quá tốt. Đã mua hàng của shop rất nhiều rồi nên yên tâm về chất lượng. Cảm ơn shop vì những sp chất lượng",,1719552682,2024-06-28,robot hút bụi lau nhà,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db
hkushaihung,5,"Shop phục vụ rất nhiệt tình nha, shipper thân thiện. Giao hàng nhanh quá ạ, sản phẩm thì khỏi phải bàn nữa, quá tốt. Đã mua hàng của shop rất nhiều rồi nên yên tâm về chất lượng. Cảm ơn shop vì những sp chất lượng",,1719553063,2024-06-28,robot hút bụi lau nhà,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db
m*****c,5,"Thời gian chuẩn bị hàng và giao hàng khá nhanh,đặt 2 hôm là nhận được hàng rồi,đóng gói khá đẹp,shop tư vấn nhiệt tình,sẽ tiếp tục ủng hộ shop lần sau",,1719752987,2024-06-30,robot hút bụi lau nhà,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db
kihotiemtamtoa,5,lần đầu mua hàng bên shop rất ưng ý về sản phẩm cũng như thái độ tư vấn rất nhiệt tình lúc đầu định k mua em này nhưng mua về lại rất ưng ý luôn ạ đẹp mà dùng rất thích luôn shop uy tín mình sẽ follow và ủng hộ thêm,,1719374847,2024-06-26,robot hút bụi lau nhà,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db
kihotiemtamtoa,5,lần đầu mua hàng bên shop rất ưng ý về sản phẩm cũng như thái độ tư vấn rất nhiệt tình lúc đầu định k mua em này nhưng mua về lại rất ưng ý luôn ạ đẹp mà dùng rất thích luôn shop uy tín mình sẽ follow và ủng hộ thêm,,1719374729,2024-06-26,robot hút bụi lau nhà,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db
z*****3,5,"Shop đóng hàng rất cẩn thận, phục vụ nhiệt tình sản phẩm thì hài lòng hết mức luôn mọi người ạ. Mình thấy shop rất nhiệt tình, hàng giao nhanh, rất hài lòng với shop.",,1719751354,2024-06-30,robot hút bụi lau nhà,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db
gbeqyenlangvu,5,"Shop đóng gói quá kỹ, sạch đẹp và đầy đủ
Chuẩn bị hàng và giao đến tay mình nhanh chóng rất là ưng về khoản này nha
Cũng ngắm đc món đồ nữa của shop rồi sẽ quay lại và ủng hộ tiếp",1 sp,1741018072,2025-03-03,robot hút bụi lau nhà,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db
hkushaihung,5,"Shop đóng gói quá kỹ, sạch đẹp và đầy đủ
Chuẩn bị hàng và giao đến tay mình nhanh chóng rất là ưng về khoản này nha
Cũng ngắm đc món đồ nữa của shop rồi sẽ quay lại và ủng hộ tiếp",,1719552948,2024-06-28,robot hút bụi lau nhà,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db
lbymbaodom,5,Đã nhận được hàng shop giao hàng nhanh đóng gói chắc chắn bền đẹp giá rẻ chât lượng tuyệt vời. Đã dùng thử rất ưng.,,1719755611,2024-06-30,robot hút bụi lau nhà,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db
kzpncanvu,5,Đã nhận được hàng shop giao hàng nhanh đóng gói chắc chắn bền đẹp giá rẻ chât lượng tuyệt vời. Đã dùng thử rất ưng.,,1719552605,2024-06-28,robot hút bụi lau nhà,https://shopee.vn/Robot-H%C3%BAt-B%E1%BB%A5i-Lau-S%C3%A0n-Nh%C3%A0-Th%C3%B4ng-Minh-3in1-Ti%E1%BB%87n-D%E1%BB%A5ng-B%E1%BA%A3o-H%C3%A0nh-12-Th%C3%A1ng-i.1285649095.26603436023?extraParams=%7B%22display_model_id%22%3A178713875621%2C%22model_selection_logic%22%3A3%7D&sp_atk=713dfc91-f8ea-426b-9783-21f7e795e4db&xptdk=713dfc91-f8ea-426b-9783-21f7e795e4db
